modelo,auc,accuracy,f1_pos,f1_neg,auc_ci
Logistic Regression,0.41482426303854875,0.3076923076923077,0.0,0.47058823529411764,"0.415 [0.311, 0.530]"
XGBoost,0.6583049886621315,0.31868131868131866,0.03125,0.4745762711864407,"0.658 [0.565, 0.744]"
BiLSTM small,0.3022030651340996,0.7631578947368421,0.8656716417910447,0.0,"0.302 [0.196, 0.420]"
Transformer small,0.0763888888888889,0.20394736842105263,0.0,0.33879781420765026,"0.076 [0.037, 0.120]"
