auc,prec_down,recall_down,prec_up,recall_up,n_down_calls,n_test,model,seed
0.8215996168582376,0.0,0.0,0.7631578947368421,1.0,0,152,transformer_finbert,0
0.6505810657596371,0.3142857142857143,0.9821428571428571,0.8571428571428571,0.047619047619047616,175,182,baseline_xgb,0
0.9190613026819923,0.23684210526315788,1.0,0.0,0.0,152,152,transformer_finbert,1
0.6573837868480724,0.3128491620111732,1.0,1.0,0.023809523809523808,179,182,baseline_xgb,1
0.7887931034482758,0.23684210526315788,1.0,0.0,0.0,152,152,transformer_finbert,2
0.6524943310657596,0.3146067415730337,1.0,1.0,0.031746031746031744,178,182,baseline_xgb,2
0.07974137931034483,0.0,0.0,0.6814159292035398,0.6637931034482759,39,152,transformer_finbert,3
0.6145124716553289,0.3125,0.9821428571428571,0.8333333333333334,0.03968253968253968,176,182,baseline_xgb,3
0.10656130268199235,0.0,0.0,0.7631578947368421,1.0,0,152,transformer_finbert,4
0.6329365079365079,0.3160919540229885,0.9821428571428571,0.875,0.05555555555555555,174,182,baseline_xgb,4
0.8582375478927203,0.0,0.0,0.7631578947368421,1.0,0,152,transformer_finbert,5
0.6472505668934241,0.3163841807909605,1.0,1.0,0.03968253968253968,177,182,baseline_xgb,5
0.8110632183908046,0.24161073825503357,1.0,1.0,0.02586206896551724,149,152,transformer_finbert,6
0.6281179138321995,0.3111111111111111,1.0,1.0,0.015873015873015872,180,182,baseline_xgb,6
0.8225574712643678,1.0,0.16666666666666666,0.7945205479452054,1.0,6,152,transformer_finbert,7
0.6330782312925171,0.3146067415730337,1.0,1.0,0.031746031746031744,178,182,baseline_xgb,7
0.830699233716475,0.23684210526315788,1.0,0.0,0.0,152,152,transformer_finbert,8
0.6456916099773243,0.3128491620111732,1.0,1.0,0.023809523809523808,179,182,baseline_xgb,8
0.8024425287356323,0.23684210526315788,1.0,0.0,0.0,152,152,transformer_finbert,9
0.6375425170068026,0.3128491620111732,1.0,1.0,0.023809523809523808,179,182,baseline_xgb,9
0.9312739463601533,0.2857142857142857,1.0,1.0,0.22413793103448276,126,152,transformer_finbert,10
0.6506519274376417,0.3111111111111111,1.0,1.0,0.015873015873015872,180,182,baseline_xgb,10
0.5158045977011494,0.0,0.0,0.7631578947368421,1.0,0,152,transformer_finbert,11
0.635062358276644,0.3111111111111111,1.0,1.0,0.015873015873015872,180,182,baseline_xgb,11
0.8017241379310345,0.0,0.0,0.7631578947368421,1.0,0,152,transformer_finbert,12
0.6549036281179138,0.3107344632768362,0.9821428571428571,0.8,0.031746031746031744,177,182,baseline_xgb,12
0.7047413793103449,0.0,0.0,0.7631578947368421,1.0,0,152,transformer_finbert,13
0.6505102040816326,0.3125,0.9821428571428571,0.8333333333333334,0.03968253968253968,176,182,baseline_xgb,13
0.6767241379310345,0.0,0.0,0.7631578947368421,1.0,0,152,transformer_finbert,14
0.6319444444444444,0.3103448275862069,0.9642857142857143,0.75,0.047619047619047616,174,182,baseline_xgb,14
0.8654214559386973,0.6111111111111112,0.6111111111111112,0.8793103448275862,0.8793103448275862,36,152,transformer_finbert,15
0.6337868480725625,0.3160919540229885,0.9821428571428571,0.875,0.05555555555555555,174,182,baseline_xgb,15
0.7409003831417624,0.0,0.0,0.7631578947368421,1.0,0,152,transformer_finbert,16
0.6385345804988662,0.3128491620111732,1.0,1.0,0.023809523809523808,179,182,baseline_xgb,16
0.585727969348659,0.0,0.0,0.7631578947368421,1.0,0,152,transformer_finbert,17
0.6378968253968255,0.3181818181818182,1.0,1.0,0.047619047619047616,176,182,baseline_xgb,17
0.20043103448275862,0.21621621621621623,0.8888888888888888,0.0,0.0,148,152,transformer_finbert,18
0.6285430839002267,0.3146067415730337,1.0,1.0,0.031746031746031744,178,182,baseline_xgb,18
0.8472222222222223,0.23684210526315788,1.0,0.0,0.0,152,152,transformer_finbert,19
0.6595804988662132,0.3128491620111732,1.0,1.0,0.023809523809523808,179,182,baseline_xgb,19
