auc,train_balance,test_balance,n_test,model,fold,seed,shift
0.9090909090909091,0.418,0.8166666666666667,30,transformer_finbert,0,0,0.39866666666666667
0.41743970315398893,0.418,0.8166666666666667,60,baseline_xgb,0,0,0.39866666666666667
0.8851674641148325,0.418,0.8166666666666667,30,transformer_finbert,0,1,0.39866666666666667
0.3784786641929499,0.418,0.8166666666666667,60,baseline_xgb,0,1,0.39866666666666667
0.9090909090909091,0.418,0.8166666666666667,30,transformer_finbert,0,2,0.39866666666666667
0.37291280148423,0.418,0.8166666666666667,60,baseline_xgb,0,2,0.39866666666666667
0.9090909090909091,0.418,0.8166666666666667,30,transformer_finbert,0,3,0.39866666666666667
0.3710575139146568,0.418,0.8166666666666667,60,baseline_xgb,0,3,0.39866666666666667
0.9090909090909091,0.418,0.8166666666666667,30,transformer_finbert,0,4,0.39866666666666667
0.3877551020408163,0.418,0.8166666666666667,60,baseline_xgb,0,4,0.39866666666666667
0.9090909090909091,0.418,0.8166666666666667,30,transformer_finbert,0,5,0.39866666666666667
0.4174397031539889,0.418,0.8166666666666667,60,baseline_xgb,0,5,0.39866666666666667
0.9090909090909091,0.418,0.8166666666666667,30,transformer_finbert,0,6,0.39866666666666667
0.36363636363636365,0.418,0.8166666666666667,60,baseline_xgb,0,6,0.39866666666666667
0.9090909090909091,0.418,0.8166666666666667,30,transformer_finbert,0,7,0.39866666666666667
0.3580705009276438,0.418,0.8166666666666667,60,baseline_xgb,0,7,0.39866666666666667
0.9090909090909091,0.418,0.8166666666666667,30,transformer_finbert,0,8,0.39866666666666667
0.3692022263450835,0.418,0.8166666666666667,60,baseline_xgb,0,8,0.39866666666666667
0.9090909090909091,0.418,0.8166666666666667,30,transformer_finbert,0,9,0.39866666666666667
0.3692022263450835,0.418,0.8166666666666667,60,baseline_xgb,0,9,0.39866666666666667
0.4,0.39285714285714285,0.43333333333333335,30,transformer_finbert,1,0,0.0404761904761905
0.47171945701357465,0.39285714285714285,0.43333333333333335,60,baseline_xgb,1,0,0.0404761904761905
0.624,0.39285714285714285,0.43333333333333335,30,transformer_finbert,1,1,0.0404761904761905
0.48416289592760187,0.39285714285714285,0.43333333333333335,60,baseline_xgb,1,1,0.0404761904761905
0.52,0.39285714285714285,0.43333333333333335,30,transformer_finbert,1,2,0.0404761904761905
0.503393665158371,0.39285714285714285,0.43333333333333335,60,baseline_xgb,1,2,0.0404761904761905
0.40800000000000003,0.39285714285714285,0.43333333333333335,30,transformer_finbert,1,3,0.0404761904761905
0.497737556561086,0.39285714285714285,0.43333333333333335,60,baseline_xgb,1,3,0.0404761904761905
0.592,0.39285714285714285,0.43333333333333335,30,transformer_finbert,1,4,0.0404761904761905
0.5067873303167421,0.39285714285714285,0.43333333333333335,60,baseline_xgb,1,4,0.0404761904761905
0.456,0.39285714285714285,0.43333333333333335,30,transformer_finbert,1,5,0.0404761904761905
0.5305429864253394,0.39285714285714285,0.43333333333333335,60,baseline_xgb,1,5,0.0404761904761905
0.376,0.39285714285714285,0.43333333333333335,30,transformer_finbert,1,6,0.0404761904761905
0.503393665158371,0.39285714285714285,0.43333333333333335,60,baseline_xgb,1,6,0.0404761904761905
0.38399999999999995,0.39285714285714285,0.43333333333333335,30,transformer_finbert,1,7,0.0404761904761905
0.48190045248868785,0.39285714285714285,0.43333333333333335,60,baseline_xgb,1,7,0.0404761904761905
0.464,0.39285714285714285,0.43333333333333335,30,transformer_finbert,1,8,0.0404761904761905
0.5113122171945702,0.39285714285714285,0.43333333333333335,60,baseline_xgb,1,8,0.0404761904761905
0.36,0.39285714285714285,0.43333333333333335,30,transformer_finbert,1,9,0.0404761904761905
0.503393665158371,0.39285714285714285,0.43333333333333335,60,baseline_xgb,1,9,0.0404761904761905
0.10227272727272727,0.4338709677419355,0.3333333333333333,30,transformer_finbert,2,0,-0.1005376344086022
0.43125,0.4338709677419355,0.3333333333333333,60,baseline_xgb,2,0,-0.1005376344086022
0.1590909090909091,0.4338709677419355,0.3333333333333333,30,transformer_finbert,2,1,-0.1005376344086022
0.3875,0.4338709677419355,0.3333333333333333,60,baseline_xgb,2,1,-0.1005376344086022
0.08522727272727272,0.4338709677419355,0.3333333333333333,30,transformer_finbert,2,2,-0.1005376344086022
0.44625000000000004,0.4338709677419355,0.3333333333333333,60,baseline_xgb,2,2,-0.1005376344086022
0.005681818181818177,0.4338709677419355,0.3333333333333333,30,transformer_finbert,2,3,-0.1005376344086022
0.44625,0.4338709677419355,0.3333333333333333,60,baseline_xgb,2,3,-0.1005376344086022
0.02272727272727272,0.4338709677419355,0.3333333333333333,30,transformer_finbert,2,4,-0.1005376344086022
0.43125,0.4338709677419355,0.3333333333333333,60,baseline_xgb,2,4,-0.1005376344086022
0.06818181818181818,0.4338709677419355,0.3333333333333333,30,transformer_finbert,2,5,-0.1005376344086022
0.43875000000000003,0.4338709677419355,0.3333333333333333,60,baseline_xgb,2,5,-0.1005376344086022
0.03977272727272728,0.4338709677419355,0.3333333333333333,30,transformer_finbert,2,6,-0.1005376344086022
0.42374999999999996,0.4338709677419355,0.3333333333333333,60,baseline_xgb,2,6,-0.1005376344086022
0.10795454545454546,0.4338709677419355,0.3333333333333333,30,transformer_finbert,2,7,-0.1005376344086022
0.425,0.4338709677419355,0.3333333333333333,60,baseline_xgb,2,7,-0.1005376344086022
0.03977272727272728,0.4338709677419355,0.3333333333333333,30,transformer_finbert,2,8,-0.1005376344086022
0.43875,0.4338709677419355,0.3333333333333333,60,baseline_xgb,2,8,-0.1005376344086022
0.13636363636363635,0.4338709677419355,0.3333333333333333,30,transformer_finbert,2,9,-0.1005376344086022
0.42000000000000004,0.4338709677419355,0.3333333333333333,60,baseline_xgb,2,9,-0.1005376344086022
0.48863636363636365,0.4338235294117647,0.3333333333333333,30,transformer_finbert,3,0,-0.1004901960784314
0.8875,0.4338235294117647,0.3333333333333333,60,baseline_xgb,3,0,-0.1004901960784314
0.7386363636363636,0.4338235294117647,0.3333333333333333,30,transformer_finbert,3,1,-0.1004901960784314
0.84375,0.4338235294117647,0.3333333333333333,60,baseline_xgb,3,1,-0.1004901960784314
0.875,0.4338235294117647,0.3333333333333333,30,transformer_finbert,3,2,-0.1004901960784314
0.9037499999999999,0.4338235294117647,0.3333333333333333,60,baseline_xgb,3,2,-0.1004901960784314
0.9147727272727273,0.4338235294117647,0.3333333333333333,30,transformer_finbert,3,3,-0.1004901960784314
0.89125,0.4338235294117647,0.3333333333333333,60,baseline_xgb,3,3,-0.1004901960784314
0.9375,0.4338235294117647,0.3333333333333333,30,transformer_finbert,3,4,-0.1004901960784314
0.87875,0.4338235294117647,0.3333333333333333,60,baseline_xgb,3,4,-0.1004901960784314
0.8636363636363636,0.4338235294117647,0.3333333333333333,30,transformer_finbert,3,5,-0.1004901960784314
0.8899999999999999,0.4338235294117647,0.3333333333333333,60,baseline_xgb,3,5,-0.1004901960784314
0.8636363636363636,0.4338235294117647,0.3333333333333333,30,transformer_finbert,3,6,-0.1004901960784314
0.89375,0.4338235294117647,0.3333333333333333,60,baseline_xgb,3,6,-0.1004901960784314
