ticker,config,auc_mean,auc_std,auc_median,n_runs
ITUB4,PRICE,0.684,0.062,0.71,25
ITUB4,PRICE+SENT,0.651,0.072,0.661,25
ITUB4,SENT,0.436,0.067,0.399,25
PETR4,PRICE,0.692,0.187,0.803,25
PETR4,PRICE+SENT,0.676,0.178,0.792,25
PETR4,SENT,0.494,0.046,0.478,25
VALE3,PRICE,0.609,0.107,0.568,25
VALE3,PRICE+SENT,0.667,0.129,0.733,25
VALE3,SENT,0.51,0.047,0.524,25
