auc,train_balance,val_balance,test_balance,n_test,ticker,model,fold,seed,shift
0.42857142857142855,0.5233333333333333,0.8555555555555555,0.4777777777777778,60,ITUB4,transformer_finbert,0,0,-0.045555555555555516
0.7560613557644731,0.5233333333333333,0.8555555555555555,0.4777777777777778,90,ITUB4,baseline_xgb,0,0,-0.045555555555555516
0.5658482142857143,0.5233333333333333,0.8555555555555555,0.4777777777777778,60,ITUB4,transformer_finbert,0,1,-0.045555555555555516
0.7634834240475012,0.5233333333333333,0.8555555555555555,0.4777777777777778,90,ITUB4,baseline_xgb,0,1,-0.045555555555555516
0.5803571428571429,0.5233333333333333,0.8555555555555555,0.4777777777777778,60,ITUB4,transformer_finbert,0,2,-0.045555555555555516
0.7491340920336467,0.5233333333333333,0.8555555555555555,0.4777777777777778,90,ITUB4,baseline_xgb,0,2,-0.045555555555555516
0.6964285714285714,0.5233333333333333,0.8555555555555555,0.4777777777777778,60,ITUB4,transformer_finbert,0,3,-0.045555555555555516
0.7486392874814449,0.5233333333333333,0.8555555555555555,0.4777777777777778,90,ITUB4,baseline_xgb,0,3,-0.045555555555555516
0.5959821428571429,0.5233333333333333,0.8555555555555555,0.4777777777777778,60,ITUB4,transformer_finbert,0,4,-0.045555555555555516
0.7357743691241959,0.5233333333333333,0.8555555555555555,0.4777777777777778,90,ITUB4,baseline_xgb,0,4,-0.045555555555555516
0.32275132275132273,0.5666666666666667,0.4777777777777778,0.5333333333333333,60,ITUB4,transformer_finbert,1,0,-0.033333333333333326
0.6001984126984127,0.5666666666666667,0.4777777777777778,0.5333333333333333,90,ITUB4,baseline_xgb,1,0,-0.033333333333333326
0.6309523809523809,0.5666666666666667,0.4777777777777778,0.5333333333333333,60,ITUB4,transformer_finbert,1,1,-0.033333333333333326
0.6245039682539683,0.5666666666666667,0.4777777777777778,0.5333333333333333,90,ITUB4,baseline_xgb,1,1,-0.033333333333333326
0.8293650793650793,0.5666666666666667,0.4777777777777778,0.5333333333333333,60,ITUB4,transformer_finbert,1,2,-0.033333333333333326
0.6081349206349207,0.5666666666666667,0.4777777777777778,0.5333333333333333,90,ITUB4,baseline_xgb,1,2,-0.033333333333333326
0.2923280423280424,0.5666666666666667,0.4777777777777778,0.5333333333333333,60,ITUB4,transformer_finbert,1,3,-0.033333333333333326
0.6046626984126984,0.5666666666666667,0.4777777777777778,0.5333333333333333,90,ITUB4,baseline_xgb,1,3,-0.033333333333333326
0.2380952380952381,0.5666666666666667,0.4777777777777778,0.5333333333333333,60,ITUB4,transformer_finbert,1,4,-0.033333333333333326
0.6190476190476191,0.5666666666666667,0.4777777777777778,0.5333333333333333,90,ITUB4,baseline_xgb,1,4,-0.033333333333333326
0.10545454545454543,0.5564102564102564,0.5333333333333333,0.6111111111111112,60,ITUB4,transformer_finbert,2,0,0.05470085470085473
0.7174025974025975,0.5564102564102564,0.5333333333333333,0.6111111111111112,90,ITUB4,baseline_xgb,2,0,0.05470085470085473
0.10909090909090906,0.5564102564102564,0.5333333333333333,0.6111111111111112,60,ITUB4,transformer_finbert,2,1,0.05470085470085473
0.7231168831168832,0.5564102564102564,0.5333333333333333,0.6111111111111112,90,ITUB4,baseline_xgb,2,1,0.05470085470085473
0.1418181818181818,0.5564102564102564,0.5333333333333333,0.6111111111111112,60,ITUB4,transformer_finbert,2,2,0.05470085470085473
0.7137662337662337,0.5564102564102564,0.5333333333333333,0.6111111111111112,90,ITUB4,baseline_xgb,2,2,0.05470085470085473
0.1745454545454545,0.5564102564102564,0.5333333333333333,0.6111111111111112,60,ITUB4,transformer_finbert,2,3,0.05470085470085473
0.7080519480519479,0.5564102564102564,0.5333333333333333,0.6111111111111112,90,ITUB4,baseline_xgb,2,3,0.05470085470085473
0.11636363636363635,0.5564102564102564,0.5333333333333333,0.6111111111111112,60,ITUB4,transformer_finbert,2,4,0.05470085470085473
0.7225974025974026,0.5564102564102564,0.5333333333333333,0.6111111111111112,90,ITUB4,baseline_xgb,2,4,0.05470085470085473
0.5942857142857143,0.5540229885057472,0.6111111111111112,0.6111111111111112,60,ITUB4,transformer_finbert,3,0,0.057088122605364
0.7527272727272727,0.5540229885057472,0.6111111111111112,0.6111111111111112,90,ITUB4,baseline_xgb,3,0,0.057088122605364
0.6594285714285715,0.5540229885057472,0.6111111111111112,0.6111111111111112,60,ITUB4,transformer_finbert,3,1,0.057088122605364
0.7646753246753247,0.5540229885057472,0.6111111111111112,0.6111111111111112,90,ITUB4,baseline_xgb,3,1,0.057088122605364
0.5680000000000001,0.5540229885057472,0.6111111111111112,0.6111111111111112,60,ITUB4,transformer_finbert,3,2,0.057088122605364
0.7896103896103894,0.5540229885057472,0.6111111111111112,0.6111111111111112,90,ITUB4,baseline_xgb,3,2,0.057088122605364
0.34285714285714286,0.5540229885057472,0.6111111111111112,0.6111111111111112,60,ITUB4,transformer_finbert,3,3,0.057088122605364
0.7885714285714286,0.5540229885057472,0.6111111111111112,0.6111111111111112,90,ITUB4,baseline_xgb,3,3,0.057088122605364
0.384,0.5540229885057472,0.6111111111111112,0.6111111111111112,60,ITUB4,transformer_finbert,3,4,0.057088122605364
0.7724675324675324,0.5540229885057472,0.6111111111111112,0.6111111111111112,90,ITUB4,baseline_xgb,3,4,0.057088122605364
0.16963064295485636,0.559375,0.6111111111111112,0.8111111111111111,60,ITUB4,transformer_finbert,4,0,0.25173611111111116
0.6172441579371475,0.559375,0.6111111111111112,0.8111111111111111,90,ITUB4,baseline_xgb,4,0,0.25173611111111116
0.8262653898768809,0.559375,0.6111111111111112,0.8111111111111111,60,ITUB4,transformer_finbert,4,1,0.25173611111111116
0.6373892022562448,0.559375,0.6111111111111112,0.8111111111111111,90,ITUB4,baseline_xgb,4,1,0.25173611111111116
0.5075239398084815,0.559375,0.6111111111111112,0.8111111111111111,60,ITUB4,transformer_finbert,4,2,0.25173611111111116
0.6502820306204673,0.559375,0.6111111111111112,0.8111111111111111,90,ITUB4,baseline_xgb,4,2,0.25173611111111116
0.4363885088919289,0.559375,0.6111111111111112,0.8111111111111111,60,ITUB4,transformer_finbert,4,3,0.25173611111111116
0.6454472199838839,0.559375,0.6111111111111112,0.8111111111111111,90,ITUB4,baseline_xgb,4,3,0.25173611111111116
0.811217510259918,0.559375,0.6111111111111112,0.8111111111111111,60,ITUB4,transformer_finbert,4,4,0.25173611111111116
0.6994359387590653,0.559375,0.6111111111111112,0.8111111111111111,90,ITUB4,baseline_xgb,4,4,0.25173611111111116
0.28327228327228327,0.655,0.8,0.5555555555555556,60,PETR4,transformer_finbert,0,0,-0.09944444444444445
