ticker,modelo,auc,accuracy,f1_pos,f1_neg,auc_ci,n_test
ITUB4,baseline_xgb,0.7067575083426029,0.3241758241758242,0.016,0.48535564853556484,"0.707 [0.622, 0.788]",182
ITUB4,stage4_transformer,0.3192704900021973,0.26973684210526316,0.0,0.42487046632124353,"0.319 [0.238, 0.400]",152
PETR4,baseline_xgb,0.5963010204081632,0.5384615384615384,0.5670103092783505,0.5058823529411764,"0.596 [0.519, 0.677]",182
PETR4,stage4_transformer,0.3812851873422636,0.3355263157894737,0.0,0.5024630541871922,"0.381 [0.286, 0.489]",152
VALE3,baseline_xgb,0.6710416666666668,0.44505494505494503,0.5213270142180095,0.33986928104575165,"0.671 [0.567, 0.769]",182
VALE3,stage4_transformer,0.9814627569935963,0.5197368421052632,0.6054054054054054,0.3865546218487395,"0.981 [0.960, 0.997]",152
