auc,train_balance,test_balance,ticker,config,fold,seed
0.483695652173913,0.49833333333333335,0.5111111111111111,ITUB4,PRICE,0,0
0.41180830039525695,0.49833333333333335,0.5111111111111111,ITUB4,SENT,0,0
0.4762845849802372,0.49833333333333335,0.5111111111111111,ITUB4,PRICE+SENT,0,0
0.4935770750988142,0.49833333333333335,0.5111111111111111,ITUB4,PRICE,0,1
0.3999505928853755,0.49833333333333335,0.5111111111111111,ITUB4,SENT,0,1
0.5148221343873518,0.49833333333333335,0.5111111111111111,ITUB4,PRICE+SENT,0,1
0.49505928853754944,0.49833333333333335,0.5111111111111111,ITUB4,PRICE,0,2
0.39402173913043476,0.49833333333333335,0.5111111111111111,ITUB4,SENT,0,2
0.5098814229249011,0.49833333333333335,0.5111111111111111,ITUB4,PRICE+SENT,0,2
0.5074110671936759,0.49833333333333335,0.5111111111111111,ITUB4,PRICE,0,3
0.41279644268774707,0.49833333333333335,0.5111111111111111,ITUB4,SENT,0,3
0.5069169960474309,0.49833333333333335,0.5111111111111111,ITUB4,PRICE+SENT,0,3
0.49407114624505927,0.49833333333333335,0.5111111111111111,ITUB4,PRICE,0,4
0.3890810276679842,0.49833333333333335,0.5111111111111111,ITUB4,SENT,0,4
0.5350790513833992,0.49833333333333335,0.5111111111111111,ITUB4,PRICE+SENT,0,4
0.5912518853695324,0.5202898550724637,0.5666666666666667,ITUB4,PRICE,1,0
0.4439416792357969,0.5202898550724637,0.5666666666666667,ITUB4,SENT,1,0
0.5540472599296129,0.5202898550724637,0.5666666666666667,ITUB4,PRICE+SENT,1,0
0.5902463549522373,0.5202898550724637,0.5666666666666667,ITUB4,PRICE,1,1
0.44997486173956763,0.5202898550724637,0.5666666666666667,ITUB4,SENT,1,1
0.5329311211664153,0.5202898550724637,0.5666666666666667,ITUB4,PRICE+SENT,1,1
0.5887380593262946,0.5202898550724637,0.5666666666666667,ITUB4,PRICE,1,2
0.4560080442433383,0.5202898550724637,0.5666666666666667,ITUB4,SENT,1,2
0.5279034690799397,0.5202898550724637,0.5666666666666667,ITUB4,PRICE+SENT,1,2
0.5867269984917044,0.5202898550724637,0.5666666666666667,ITUB4,PRICE,1,3
0.4484665661136249,0.5202898550724637,0.5666666666666667,ITUB4,SENT,1,3
0.5641025641025641,0.5202898550724637,0.5666666666666667,ITUB4,PRICE+SENT,1,3
0.5656108597285068,0.5202898550724637,0.5666666666666667,ITUB4,PRICE,1,4
0.4268476621417798,0.5202898550724637,0.5666666666666667,ITUB4,SENT,1,4
0.5651080945198592,0.5202898550724637,0.5666666666666667,ITUB4,PRICE+SENT,1,4
0.5027376804380288,0.5192307692307693,0.5444444444444444,ITUB4,PRICE,2,0
0.44026879044300643,0.5192307692307693,0.5444444444444444,ITUB4,SENT,2,0
0.5082130413140866,0.5192307692307693,0.5444444444444444,ITUB4,PRICE+SENT,2,0
0.5012444001991041,0.5192307692307693,0.5444444444444444,ITUB4,PRICE,2,1
0.413887506222001,0.5192307692307693,0.5444444444444444,ITUB4,SENT,2,1
0.498755599800896,0.5192307692307693,0.5444444444444444,ITUB4,PRICE+SENT,2,1
0.5072175211548033,0.5192307692307693,0.5444444444444444,ITUB4,PRICE,2,2
0.4611747137879542,0.5192307692307693,0.5444444444444444,ITUB4,SENT,2,2
0.48880039820806365,0.5192307692307693,0.5444444444444444,ITUB4,PRICE+SENT,2,2
0.5121951219512195,0.5192307692307693,0.5444444444444444,ITUB4,PRICE,2,3
0.41289198606271776,0.5192307692307693,0.5444444444444444,ITUB4,SENT,2,3
0.5286212045793928,0.5192307692307693,0.5444444444444444,ITUB4,PRICE+SENT,2,3
0.4917869586859134,0.5192307692307693,0.5444444444444444,ITUB4,PRICE,2,4
0.3885017421602788,0.5192307692307693,0.5444444444444444,ITUB4,SENT,2,4
0.5246391239422599,0.5192307692307693,0.5444444444444444,ITUB4,PRICE+SENT,2,4
0.5143849206349207,0.5241379310344828,0.5333333333333333,ITUB4,PRICE,3,0
0.5032242063492063,0.5241379310344828,0.5333333333333333,ITUB4,SENT,3,0
0.5615079365079365,0.5241379310344828,0.5333333333333333,ITUB4,PRICE+SENT,3,0
0.49603174603174605,0.5241379310344828,0.5333333333333333,ITUB4,PRICE,3,1
0.5042162698412698,0.5241379310344828,0.5333333333333333,ITUB4,SENT,3,1
0.535218253968254,0.5241379310344828,0.5333333333333333,ITUB4,PRICE+SENT,3,1
0.4920634920634921,0.5241379310344828,0.5333333333333333,ITUB4,PRICE,3,2
0.4987599206349206,0.5241379310344828,0.5333333333333333,ITUB4,SENT,3,2
