auc,train_balance,test_balance,ticker,config,fold,seed
0.7615042058386938,0.5233333333333333,0.4777777777777778,ITUB4,PRICE,0,0
0.5113805047006432,0.5233333333333333,0.4777777777777778,ITUB4,SENT,0,0
0.7075705096486888,0.5233333333333333,0.4777777777777778,ITUB4,PRICE+SENT,0,0
0.7189510143493321,0.5233333333333333,0.4777777777777778,ITUB4,PRICE,0,1
0.5009896091044038,0.5233333333333333,0.4777777777777778,ITUB4,SENT,0,1
0.6709549727857497,0.5233333333333333,0.4777777777777778,ITUB4,PRICE+SENT,0,1
0.7476496783770411,0.5233333333333333,0.4777777777777778,ITUB4,PRICE,0,2
0.5361207323107372,0.5233333333333333,0.4777777777777778,ITUB4,SENT,0,2
0.6857991093518061,0.5233333333333333,0.4777777777777778,ITUB4,PRICE+SENT,0,2
0.722414646214745,0.5233333333333333,0.4777777777777778,ITUB4,PRICE,0,3
0.5316674913409204,0.5233333333333333,0.4777777777777778,ITUB4,SENT,0,3
0.6922315685304304,0.5233333333333333,0.4777777777777778,ITUB4,PRICE+SENT,0,3
0.7337951509153884,0.5233333333333333,0.4777777777777778,ITUB4,PRICE,0,4
0.5385947550717467,0.5233333333333333,0.4777777777777778,ITUB4,SENT,0,4
0.6952003958436418,0.5233333333333333,0.4777777777777778,ITUB4,PRICE+SENT,0,4
0.5893122216724394,0.5666666666666667,0.5222222222222223,ITUB4,PRICE,1,0
0.37357743691241957,0.5666666666666667,0.5222222222222223,ITUB4,SENT,1,0
0.52894606630381,0.5666666666666667,0.5222222222222223,ITUB4,PRICE+SENT,1,0
0.5878278080158338,0.5666666666666667,0.5222222222222223,ITUB4,PRICE,1,1
0.3740722414646215,0.5666666666666667,0.5222222222222223,ITUB4,SENT,1,1
0.5517070757050965,0.5666666666666667,0.5222222222222223,ITUB4,PRICE+SENT,1,1
0.6016823354774864,0.5666666666666667,0.5222222222222223,ITUB4,PRICE,1,2
0.36961900049480456,0.5666666666666667,0.5222222222222223,ITUB4,SENT,1,2
0.5482434438396833,0.5666666666666667,0.5222222222222223,ITUB4,PRICE+SENT,1,2
0.5873330034636319,0.5666666666666667,0.5222222222222223,ITUB4,PRICE,1,3
0.39881246907471546,0.5666666666666667,0.5222222222222223,ITUB4,SENT,1,3
0.5393369619000494,0.5666666666666667,0.5222222222222223,ITUB4,PRICE+SENT,1,3
0.5769421078673924,0.5666666666666667,0.5222222222222223,ITUB4,PRICE,1,4
0.39188520534388915,0.5666666666666667,0.5222222222222223,ITUB4,SENT,1,4
0.5437902028698665,0.5666666666666667,0.5222222222222223,ITUB4,PRICE+SENT,1,4
0.7058823529411765,0.5564102564102564,0.6222222222222222,ITUB4,PRICE,2,0
0.375,0.5564102564102564,0.6222222222222222,ITUB4,SENT,2,0
0.6796218487394958,0.5564102564102564,0.6222222222222222,ITUB4,PRICE+SENT,2,0
0.7163865546218487,0.5564102564102564,0.6222222222222222,ITUB4,PRICE,2,1
0.3608193277310925,0.5564102564102564,0.6222222222222222,ITUB4,SENT,2,1
0.6607142857142857,0.5564102564102564,0.6222222222222222,ITUB4,PRICE+SENT,2,1
0.7100840336134454,0.5564102564102564,0.6222222222222222,ITUB4,PRICE,2,2
0.3981092436974791,0.5564102564102564,0.6222222222222222,ITUB4,SENT,2,2
0.657563025210084,0.5564102564102564,0.6222222222222222,ITUB4,PRICE+SENT,2,2
0.7085084033613446,0.5564102564102564,0.6222222222222222,ITUB4,PRICE,2,3
0.4096638655462184,0.5564102564102564,0.6222222222222222,ITUB4,SENT,2,3
0.6785714285714286,0.5564102564102564,0.6222222222222222,ITUB4,PRICE+SENT,2,3
0.7237394957983193,0.5564102564102564,0.6222222222222222,ITUB4,PRICE,2,4
0.41334033613445376,0.5564102564102564,0.6222222222222222,ITUB4,SENT,2,4
0.6439075630252101,0.5564102564102564,0.6222222222222222,ITUB4,PRICE+SENT,2,4
0.7503896103896104,0.5528735632183908,0.6111111111111112,ITUB4,PRICE,3,0
0.49558441558441557,0.5528735632183908,0.6111111111111112,ITUB4,SENT,3,0
0.7496103896103896,0.5528735632183908,0.6111111111111112,ITUB4,PRICE+SENT,3,0
0.7449350649350649,0.5528735632183908,0.6111111111111112,ITUB4,PRICE,3,1
0.5153246753246753,0.5528735632183908,0.6111111111111112,ITUB4,SENT,3,1
0.7257142857142858,0.5528735632183908,0.6111111111111112,ITUB4,PRICE+SENT,3,1
0.7506493506493508,0.5528735632183908,0.6111111111111112,ITUB4,PRICE,3,2
0.5085714285714286,0.5528735632183908,0.6111111111111112,ITUB4,SENT,3,2
0.761038961038961,0.5528735632183908,0.6111111111111112,ITUB4,PRICE+SENT,3,2
0.7428571428571429,0.5528735632183908,0.6111111111111112,ITUB4,PRICE,3,3
0.4919480519480519,0.5528735632183908,0.6111111111111112,ITUB4,SENT,3,3
0.7298701298701298,0.5528735632183908,0.6111111111111112,ITUB4,PRICE+SENT,3,3
0.7184415584415584,0.5528735632183908,0.6111111111111112,ITUB4,PRICE,3,4
0.5049350649350649,0.5528735632183908,0.6111111111111112,ITUB4,SENT,3,4
0.758961038961039,0.5528735632183908,0.6111111111111112,ITUB4,PRICE+SENT,3,4
0.6236905721192586,0.559375,0.8111111111111111,ITUB4,PRICE,4,0
0.38759065269943593,0.559375,0.8111111111111111,ITUB4,SENT,4,0
0.6164383561643836,0.559375,0.8111111111111111,ITUB4,PRICE+SENT,4,0
0.6502820306204673,0.559375,0.8111111111111111,ITUB4,PRICE,4,1
0.3698630136986301,0.559375,0.8111111111111111,ITUB4,SENT,4,1
0.5898468976631748,0.559375,0.8111111111111111,ITUB4,PRICE+SENT,4,1
0.652699435938759,0.559375,0.8111111111111111,ITUB4,PRICE,4,2
