auc,prec_down,recall_down,prec_up,recall_up,n_down_calls,n_test,ticker,model,seed
0.8365194462755438,0.0,0.0,0.7302631578947368,1.0,0,152,ITUB4,transformer_finbert,0
0.6868743047830923,0.32044198895027626,1.0,1.0,0.008064516129032258,181,182,ITUB4,baseline_xgb,0
0.917820259283674,0.26973684210526316,1.0,0.0,0.0,152,152,ITUB4,transformer_finbert,1
0.66087319243604,0.32044198895027626,1.0,1.0,0.008064516129032258,181,182,ITUB4,baseline_xgb,1
0.7484069435288947,0.26973684210526316,1.0,0.0,0.0,152,152,ITUB4,transformer_finbert,2
0.7038375973303671,0.31868131868131866,1.0,0.0,0.0,182,182,ITUB4,baseline_xgb,2
0.09294660514172709,0.0,0.0,0.7191780821917808,0.9459459459459459,6,152,ITUB4,transformer_finbert,3
0.6765850945494996,0.32222222222222224,1.0,1.0,0.016129032258064516,180,182,ITUB4,baseline_xgb,3
0.11382113821138214,0.0,0.0,0.7302631578947368,1.0,0,152,ITUB4,transformer_finbert,4
0.6689377085650723,0.32222222222222224,1.0,1.0,0.016129032258064516,180,182,ITUB4,baseline_xgb,4
0.8723357503845309,0.8571428571428571,0.14634146341463414,0.7586206896551724,0.990990990990991,7,152,ITUB4,transformer_finbert,5
0.6779755283648499,0.32044198895027626,1.0,1.0,0.008064516129032258,181,182,ITUB4,baseline_xgb,5
0.8171830366952318,0.26973684210526316,1.0,0.0,0.0,152,152,ITUB4,transformer_finbert,6
0.7042547274749723,0.32222222222222224,1.0,1.0,0.016129032258064516,180,182,ITUB4,baseline_xgb,6
0.8286090969017799,0.9565217391304348,0.5365853658536586,0.8527131782945736,0.990990990990991,23,152,ITUB4,transformer_finbert,7
0.6793659621802003,0.32222222222222224,1.0,1.0,0.016129032258064516,180,182,ITUB4,baseline_xgb,7
0.8261920457042409,0.26973684210526316,1.0,0.0,0.0,152,152,ITUB4,transformer_finbert,8
0.7021690767519466,0.3258426966292135,1.0,1.0,0.03225806451612903,178,182,ITUB4,baseline_xgb,8
0.8103713469567129,0.26973684210526316,1.0,0.0,0.0,152,152,ITUB4,transformer_finbert,9
0.6696329254727476,0.32222222222222224,1.0,1.0,0.016129032258064516,180,182,ITUB4,baseline_xgb,9
0.927708196000879,0.26973684210526316,1.0,0.0,0.0,152,152,ITUB4,transformer_finbert,10
0.699666295884316,0.32044198895027626,1.0,1.0,0.008064516129032258,181,182,ITUB4,baseline_xgb,10
0.6031641397495057,0.2827586206896552,1.0,1.0,0.06306306306306306,145,152,ITUB4,transformer_finbert,11
0.6845105672969967,0.32222222222222224,1.0,1.0,0.016129032258064516,180,182,ITUB4,baseline_xgb,11
0.7923533289386948,0.39705882352941174,0.6585365853658537,0.8333333333333334,0.6306306306306306,68,152,ITUB4,transformer_finbert,12
0.6764460511679644,0.3258426966292135,1.0,1.0,0.03225806451612903,178,182,ITUB4,baseline_xgb,12
0.7618105910788837,0.3178294573643411,1.0,1.0,0.2072072072072072,129,152,ITUB4,transformer_finbert,13
0.67797552836485,0.32044198895027626,1.0,1.0,0.008064516129032258,181,182,ITUB4,baseline_xgb,13
0.6892990551527138,0.0,0.0,0.7302631578947368,1.0,0,152,ITUB4,transformer_finbert,14
0.6753337041156843,0.32044198895027626,1.0,1.0,0.008064516129032258,181,182,ITUB4,baseline_xgb,14
0.8593715666886399,0.36283185840707965,1.0,1.0,0.35135135135135137,113,152,ITUB4,transformer_finbert,15
0.6971635150166853,0.31868131868131866,1.0,0.0,0.0,182,182,ITUB4,baseline_xgb,15
0.7391782025928367,0.0,0.0,0.7302631578947368,1.0,0,152,ITUB4,transformer_finbert,16
0.6981368186874305,0.32044198895027626,1.0,1.0,0.008064516129032258,181,182,ITUB4,baseline_xgb,16
0.6185453746429357,0.4897959183673469,0.5853658536585366,0.8349514563106796,0.7747747747747747,49,152,ITUB4,transformer_finbert,17
0.6998053392658509,0.32222222222222224,1.0,1.0,0.016129032258064516,180,182,ITUB4,baseline_xgb,17
