date,n_articles,mean_logit_pos,mean_logit_neg,mean_logit_neu,mean_sentiment
2009-03-24,1,-0.5157495737075806,-1.86455500125885,-0.06497929245233536,2.0
2010-08-17,1,-1.6201395988464355,-1.1609500646591187,0.7088289260864258,2.0
2010-09-17,1,-2.0119524002075195,1.3416953086853027,-1.4114443063735962,1.0
2011-02-17,1,-2.184154748916626,1.254016399383545,-1.2032312154769897,1.0
2011-05-12,1,1.4363048076629639,-1.9452307224273682,-1.5068038702011108,0.0
2011-07-25,1,-1.3961174488067627,-1.1871109008789062,0.9088630676269531,2.0
2013-03-18,1,-1.0766314268112183,-1.7259721755981445,0.7917944192886353,2.0
2014-05-08,1,-1.918434500694275,1.6849195957183838,-1.5427545309066772,1.0
2015-02-11,1,-1.5177091360092163,-1.0471004247665405,0.8308373689651489,2.0
2015-04-02,1,-1.9268097877502441,1.2475545406341553,-1.594902753829956,1.0
2015-05-26,1,-1.9736512899398804,1.2394026517868042,-1.533958911895752,1.0
2015-07-20,1,-1.767176628112793,1.764807105064392,-1.7163922786712646,1.0
2015-12-09,1,-1.963977336883545,1.5227322578430176,-1.5510462522506714,1.0
2016-01-07,1,-0.9057306051254272,-1.7210943698883057,0.48153671622276306,2.0
2016-02-29,1,-1.6459420919418335,0.8979125618934631,-1.642903447151184,1.0
2016-03-07,1,-1.7683124542236328,1.0765650272369385,-1.5821775197982788,1.0
2016-04-08,1,-1.696271300315857,0.7358168363571167,-1.553092122077942,1.0
2016-07-19,1,0.5028524398803711,-1.902057409286499,-0.7397637367248535,0.0
2016-11-03,1,-1.8678081035614014,1.4510469436645508,-1.6555753946304321,1.0
2017-01-26,1,0.6738207340240479,-2.0199999809265137,-1.0418015718460083,0.0
2017-06-20,1,-0.7425687313079834,-1.6588584184646606,0.6580872535705566,2.0
2017-07-24,1,-1.809145212173462,0.3054109215736389,-1.0323299169540405,1.0
2017-08-08,1,-1.870391845703125,0.9440416097640991,-1.5258201360702515,1.0
2017-08-30,1,-1.6849168539047241,0.665915846824646,-1.4835920333862305,1.0
2017-10-02,1,1.7055308818817139,-1.9180068969726562,-1.5478085279464722,0.0
2017-11-13,1,-1.9136532545089722,0.9699061512947083,-1.4508205652236938,1.0
2017-11-16,1,-1.6373076438903809,-0.19232718646526337,-0.6555541753768921,1.0
2017-11-21,1,-0.8195574283599854,-1.2412683963775635,-0.3784920573234558,2.0
2017-12-06,1,-1.403038501739502,0.17616869509220123,-1.269156575202942,1.0
