date,n_articles,mean_logit_pos,mean_logit_neg,mean_logit_neu,mean_sentiment
2011-03-14,1,-1.861155390739441,1.5659198760986328,-1.651821255683899,1.0
2012-08-14,1,-1.9070496559143066,1.1034929752349854,-1.4266239404678345,1.0
2012-12-26,1,-0.44973593950271606,-2.111266851425171,0.4474249482154846,2.0
2015-04-02,1,-1.9268097877502441,1.2475545406341553,-1.594902753829956,1.0
2015-05-26,1,-1.9736512899398804,1.2394026517868042,-1.533958911895752,1.0
2015-07-20,1,-1.767176628112793,1.764807105064392,-1.7163922786712646,1.0
2016-01-07,1,-0.9057306051254272,-1.7210943698883057,0.48153671622276306,2.0
2016-02-29,1,-1.6459418535232544,0.8979126811027527,-1.642903208732605,1.0
2016-03-07,1,-1.7683124542236328,1.0765650272369385,-1.5821775197982788,1.0
2016-04-08,1,-1.696271300315857,0.7358168363571167,-1.553092122077942,1.0
2016-11-03,1,-1.8678081035614014,1.4510469436645508,-1.6555753946304321,1.0
2017-01-26,1,0.6738207340240479,-2.0199999809265137,-1.0418018102645874,0.0
2017-01-31,1,1.3553259372711182,-1.7834947109222412,-1.577295184135437,0.0
2017-07-24,1,-1.809145212173462,0.3054109215736389,-1.0323299169540405,1.0
2017-08-08,1,-1.870391845703125,0.9440416097640991,-1.5258201360702515,1.0
2017-08-30,1,-1.6849168539047241,0.665915846824646,-1.4835920333862305,1.0
2017-10-02,1,-0.7938512563705444,-0.217596173286438,-1.58515202999115,1.0
2017-11-13,1,-1.9136536121368408,0.9699066281318665,-1.4508205652236938,1.0
2017-11-16,1,-1.6373076438903809,-0.19232718646526337,-0.6555541753768921,1.0
2017-11-21,1,-0.8195574283599854,-1.2412683963775635,-0.3784920573234558,2.0
2017-12-06,1,-1.403038501739502,0.17616869509220123,-1.269156575202942,1.0
2017-12-15,1,-2.108116388320923,0.6276782155036926,-0.8631458878517151,1.0
2018-06-06,1,-1.8120191097259521,1.713105320930481,-1.7213201522827148,1.0
2018-07-25,1,-0.23516441881656647,-1.8921093940734863,-0.17685595154762268,2.0
2018-08-16,3,-0.7822156349817911,-0.7629424333572388,-0.5960031946500143,1.0
2019-11-20,1,1.7229636907577515,-1.8630192279815674,-1.6580541133880615,0.0
2020-01-02,1,-1.1082563400268555,-0.5665003061294556,-1.0086711645126343,1.0
2020-02-24,2,-1.7214289903640747,1.7501956820487976,-1.7108911275863647,1.0
2020-09-17,1,-1.2325538396835327,-1.4360588788986206,0.7967521548271179,2.0
2020-11-24,1,1.6259320974349976,-1.732709527015686,-1.7235625982284546,0.0
2020-12-16,1,1.3573191165924072,-2.080366611480713,-1.238194227218628,0.0
2021-03-18,1,-1.314122200012207,-1.5034561157226562,0.8730368614196777,2.0
2021-04-12,4,-0.9373173862695694,-1.3379831314086914,0.03815682977437973,1.5
2021-04-13,3,-0.3074750304222107,-1.1378984451293945,-0.7304278183728456,0.3333333333333333
2021-04-14,2,0.20360785722732544,-1.4565057754516602,-1.0192197561264038,1.0
2021-04-15,2,-0.40394896268844604,-0.6617790758609772,-1.1548130214214325,0.5
2021-04-16,3,-0.14147397751609483,-1.8693787654240925,-0.1828551689783732,1.3333333333333333
2021-04-18,1,-1.4180124998092651,-1.1769684553146362,0.9662560224533081,2.0
2021-04-19,6,-1.186067819595337,0.1349759567528963,-1.245135982831319,0.8333333333333334
2021-04-20,4,-1.7566011250019073,0.9979711547493935,-1.5066573917865753,1.0
2021-04-21,1,-0.7529975771903992,-0.1988893449306488,-1.560289740562439,1.0
2021-04-22,1,-1.723231554031372,1.7728482484817505,-1.7089933156967163,1.0
2021-04-23,5,-0.4038247108459473,-0.851259422302246,-0.9325073838233948,0.8
2021-04-25,1,-1.5409835577011108,-0.9033707976341248,0.9036247134208679,2.0
2021-04-26,5,0.47806963622570037,-1.7177034854888915,-0.9668407678604126,0.4
2021-04-27,9,-0.6290852788370103,-0.29485399193233913,-1.1941807096203167,0.8888888888888888
2021-04-28,1,1.243880271911621,-2.1825265884399414,-1.24667489528656,0.0
2021-04-29,1,-0.7188044786453247,-1.4137191772460938,-0.7921916246414185,0.0
2021-04-30,3,-0.8001511494318644,0.05926241477330526,-1.320335825284322,0.6666666666666666
2021-05-03,4,-0.4349318938329816,-0.5408018827438354,-1.251195713877678,0.5
2021-05-04,3,-1.0117663939793904,-0.10865382353464763,-1.207593321800232,0.6666666666666666
2021-05-05,1,-1.8962725400924683,1.7233024835586548,-1.5512025356292725,1.0
2021-05-06,4,-1.0422564819455147,-0.6229853928089142,-0.6993240267038345,1.0
2021-05-07,3,-1.1414999961853027,-0.265317181746165,-1.047653337319692,1.0
2021-05-09,1,-0.01483056042343378,-2.1286582946777344,-0.009390993043780327,2.0
2021-05-10,4,-0.6206390857696533,-0.566334031522274,-1.133528707548976,1.0
2021-05-11,4,-0.3254193067550659,-1.1007584929466248,-0.9829695578664541,0.75
2021-05-12,2,-0.30807530879974365,-0.33604252338409424,-1.4279178977012634,0.5
2021-05-13,6,-0.7393888955314954,-0.4765619871517022,-1.1044414043426514,0.6666666666666666
2021-05-14,2,-0.9964491613209248,-0.3302278518676758,-1.1279950141906738,0.5
2021-05-17,3,-0.14632521073023477,-0.550579826037089,-1.4801226059595745,0.3333333333333333
2021-05-18,4,-1.1300467550754547,0.05509882606565952,-1.3321812748908997,0.75
2021-05-19,3,0.027638422635694344,-1.3695770961542924,-0.9173116851598024,1.0
2021-05-20,2,0.8968066573143005,-1.8765920996665955,-1.320587933063507,0.0
2021-05-21,7,-0.8723072069031852,-0.033144112144197733,-1.409452165876116,0.7142857142857143
2021-05-22,1,-2.1684226989746094,0.9923788905143738,-1.016808271408081,1.0
2021-05-24,3,-0.06117286284764608,-1.7257589896519978,-0.5432514846324921,0.6666666666666666
2021-05-25,3,-0.6557394663492838,-1.122901717821757,-0.42291518052419025,1.0
2021-05-26,3,-1.1297024488449097,-0.15549710392951965,-1.3189534743626912,0.6666666666666666
2021-05-27,5,-0.7931206941604614,-0.030790948867797853,-1.3591108322143555,0.6
2021-05-28,1,1.2212331295013428,-1.7437012195587158,-1.5367343425750732,0.0
2021-05-31,3,0.01690072814623515,-1.3238891959190369,-0.8216189046700796,0.6666666666666666
2021-06-01,2,-0.6835172921419144,-1.1802996546030045,-0.5227189734578133,1.0
2021-06-02,7,-0.06518491676875524,-0.8587207964488438,-1.0399022953850883,0.8571428571428571
2021-06-04,3,-0.6522183815638224,0.5621800422668457,-1.7015749613444011,0.6666666666666666
2021-06-07,4,-0.15400262270122766,-1.3457311689853668,-0.8400169759988785,0.5
