date,n_articles,mean_logit_pos,mean_logit_neg,mean_logit_neu,mean_sentiment
2025-08-06,1,1.831351399421692,-1.687106966972351,-1.6957261562347412,0.0
2025-09-04,1,-1.5600982904434204,1.3965083360671997,-1.871645450592041,1.0
2025-09-22,1,0.3466120660305023,-2.0688059329986572,-0.40856385231018066,0.0
2025-09-24,1,-0.7888467311859131,-1.256613850593567,0.030594611540436745,2.0
2025-09-29,2,1.2625388503074646,-2.1408220529556274,-1.266994833946228,0.0
2025-10-17,1,1.7427195310592651,-1.90156888961792,-1.6002790927886963,0.0
2025-10-21,1,-1.1076438426971436,-1.553993821144104,0.8410371541976929,2.0
2025-10-24,1,-0.8863533139228821,-1.5656946897506714,0.3658760190010071,2.0
2025-11-03,1,1.7048919200897217,-1.8664156198501587,-1.638556957244873,0.0
2025-11-04,2,1.657357394695282,-1.6993152499198914,-1.7324535250663757,0.0
2025-11-05,3,1.4157380660374959,-1.8611631393432617,-1.4872771104176838,0.0
2025-11-11,1,-1.4783345460891724,-1.501456379890442,0.6597980260848999,2.0
2025-11-27,2,-0.37612271308898926,-0.45141416788101196,-1.4411263465881348,0.5
2025-11-28,3,-1.6470431685447693,-0.08861809968948364,-0.6569329500198364,1.3333333333333333
2025-12-05,1,-1.4117999076843262,-1.2277404069900513,0.5385616421699524,2.0
2025-12-08,1,0.4210480749607086,-2.010669231414795,-0.7266231179237366,0.0
2025-12-09,2,-0.4037667214870453,-1.7021549344062805,-0.1577165424823761,1.0
2025-12-16,1,1.7635778188705444,-1.8811310529708862,-1.607526183128357,0.0
2025-12-18,2,0.35432760417461395,-2.3869065046310425,-0.1933688521385193,0.0
2025-12-19,2,-0.8403522372245789,-0.6362565457820892,-0.7910168766975403,0.5
2025-12-22,1,1.814072608947754,-1.9118207693099976,-1.5012439489364624,0.0
2025-12-23,1,1.0814416408538818,-2.2756786346435547,-0.8679322004318237,0.0
2025-12-30,1,-1.0801523923873901,-1.787861943244934,0.9160957932472229,2.0
2026-01-05,1,0.5054140090942383,-2.325500249862671,-0.39622780680656433,0.0
2026-01-08,1,1.3319106101989746,-2.2405314445495605,-1.110058069229126,0.0
2026-01-27,2,0.22070151567459106,-1.5389599204063416,-0.6607277542352676,1.0
2026-01-28,2,1.8523926138877869,-1.7004936933517456,-1.7231252193450928,0.0
2026-02-02,3,-0.6710830380519232,-1.9338897466659546,0.4118522306283315,1.3333333333333333
2026-02-04,7,0.3171395403998239,-1.2339714552674974,-1.1351126517568315,0.7142857142857143
2026-02-05,19,1.250480279081354,-1.820794613737809,-1.3223501490919214,0.21052631578947367
2026-02-10,1,1.25149405002594,-1.886998176574707,-1.4940530061721802,0.0
2026-02-12,1,-1.553985595703125,0.35639405250549316,-1.405805230140686,1.0
2026-02-19,1,-1.8261032104492188,1.7641268968582153,-1.6252458095550537,1.0
2026-02-23,1,-1.782082200050354,1.6210719347000122,-1.812243103981018,1.0
2026-02-26,6,-1.1217623154322307,-0.6921070342262586,-0.39314105982581776,1.3333333333333333
2026-02-27,2,-1.3220464587211609,-1.2776252031326294,0.3064270094037056,2.0
2026-02-28,1,-2.013483762741089,0.8550978899002075,-1.2459036111831665,1.0
2026-03-02,2,1.2149443626403809,-2.14805805683136,-1.1561316549777985,0.0
2026-03-04,2,0.20231661200523376,-2.1809924840927124,-0.4911632239818573,1.0
2026-03-06,1,-1.7880733013153076,-1.089626431465149,0.7417701482772827,2.0
2026-03-10,1,-1.990140438079834,1.4805692434310913,-1.6248244047164917,1.0
2026-03-13,1,0.6179472804069519,-2.4390265941619873,-0.4554884433746338,0.0
2026-03-16,2,-1.5409930348396301,-0.1123538613319397,-0.6395224332809448,1.5
2026-03-18,4,-0.49319610744714737,-0.3573932945728302,-1.2257441580295563,0.5
2026-03-19,5,-0.3698770523071289,-1.3331555038690568,-0.4768267244100571,1.0
2026-03-20,4,-1.7284384369850159,0.7744235694408417,-1.0272178649902344,1.25
2026-03-21,1,-1.8279932737350464,1.657099723815918,-1.6829252243041992,1.0
2026-03-23,1,-0.7122311592102051,-1.3803106546401978,-0.5912870764732361,2.0
2026-03-24,4,0.08272631838917732,-1.221228465437889,-1.1547115296125412,0.25
2026-03-25,3,0.057744654516379036,-0.9994791448116302,-1.4377216498057048,0.3333333333333333
2026-03-26,3,-1.6050257285435994,0.7336880366007487,-1.0113280415534973,1.3333333333333333
2026-03-27,4,-1.4512330666184425,0.6281187832355499,-1.1970405541360378,1.25
2026-03-28,4,-0.5610745400190353,-1.4634104371070862,-0.3327629119157791,1.5
2026-03-29,4,-0.8084776178002357,-1.9117588996887207,0.4979352653026581,2.0
